SKU,Item,Qty,
AUPF3MCOVPVG,Dummy head,100,
VR2H1SHS4ERU,Glue Storage Metal,29,"Pink 15, black 14"
SLYP09YOYLLI,Glue Storage Plastic,20,"White 6, black 5, pink 4, grey 3, green 1, deep pink 1"
2FOIZGMD8OX8,strip lash - 5 rows,110,
,Practice Skin,300,
BTKP7HPBGFUI,strip lash - 10 rows,20,
,Hand Glove,,5 cartons
,wax heater,10,
25JYKOZGSUZR,carving blade,51,
,color,30,
,Microblading Blade,10,"4 Flat, 6 U"
9SLE4VAYIO58,1 battery machine,,
CZIEZ49SDWMU,2 battery machine,,
,1 battery microblading pin,,
,2 battery microblading pin,,
,small pigment,,
,big pigment,,
,mapping thread,,
,twinkle blade,,
,cap,,
,hydrogel eye patch,,
,bags,,
,mapping pen,,
,wax warmer,3,
IL6BTBSE4NHB,cooling fan,35,
FF0YXWDRW0MK,Lash Bottle 250ml,30,
NRONJXETMHA7,Lash Bottle 150ml,30,
YC9JIREXXLIU,Lash Wash,50,
3GJM97D6KJMJ,Mascara Wand,100,
BZAGPIEJ0ZPP,Micro Swab,30,
GG083PFKV1QB,Lash Scissors,40,
CZH33JWTYPXA,Super Bonder,70,
,Big mascara Wand,300,
,Fancy Glue Ring,30,
,Big Lash Brush,60,
,Big Blue Sop,8,
,Green Soap,10,
,Nuzzle White,15,
,Tattoo Deodorant,20,
CBVZBIT5TKRT,Alcohol Pads,20,
,Eyelash & Eyebrow Tint,30,
,Extractor Pin,20,
0FDPXY1RF3HT,Surgical Tray,30,
,Cotton Pad,25,
,Wax Pot,10,
,Big Sachet Wax Beans,20,
HR6LMYKWXZNM,Depilatory Wax Small (400g),10,
QNE4RUTSZCBG,Depilatory Wax Big (800g),12,
97VPTZ9YKGRD,Wax Beans Plastic Container,24,
,Wax Roller,50,
,Golden Rose Anaesthetic,15,
,Disposable Mapping Ruler,50,
,Tube Aftercare,50,
,machine charger,30,
YHF9C86V1PMR,Brow Booster,30,
,Black Mapping Pencil,72,
,White Mapping pen,30,
,Lip Booster,30,
,Calipper,,50pcs not provided
,Electiric Caliper,,30pcs not provided
,nano Mist,20,
ZSGMLRVYWOGU,Flower Glue ring,100,
,Lip Brush,50,
,Spatula,,1 carton not provided
,Wax paper,5,
BAJGVA9ZNNRE,Transparent tape,100,
,face sheet mask,,500
