SKU,Item,Qty,,
WCPYZ8MR0C86,Practice Skin,300,,
8VHZLJ6PH8WX ,Hand Glove - Medium,50,,
FD3TH6JZWSGH ,Hand Glove - Large,20,,
9NACX3FQIBEX,Depilatory wax heater,10,,
O5UCSR4BDSHM,color Sealant,30,,
NPTSOW5SVOA3,Microblading Blade - U,300,,
DLJCVBKHACW9,Microblading Blade - Slant,200,,
,1 battery microblading pin,,,
,2 battery microblading pin,,,
OPCPKIYMNBHC,small pigment,,,
PM0QSAYKAZXH,big pigment,60,,40 black
KZ7DIFCIVVXK ,mapping thread,,,
SFUITUMYSLO4,twinkle blade,200,,
45EF2MMXSP6N ,bonnet,50,,
,hydrogel eye patch,,,
,bags,,,
54ZOHEQI34L2,wax warmer,3,,
AE0DIVPA4FYO,Big mascara Wand,300,,
TPNT15ARC2K8,Fancy Glue Ring,30,,
X4CEULVHWMOT,Big Lash Brush,60,,
1ZG9TTHWVI8C,Big Blue Sop,8,,
SDJQS7MFMAVC,Green Soap,10,,
8XHZQ4BMFBFZ,Nuzzle wipes,15,,
KD1DWOCOI45B,Stencil Stuff,70,,
PP8IQOCCEBIN,Eyelash & Eyebrow Tint,30,,
CZ5IINA0TDIW,Extractor Pin,20,,
IPT35KZ802PF,Cotton Pad,25,,
,Wax Pot,10,,
LXMEJGOLCXUG,Big Sachet Wax Beans,20,,
M08WQA5ZXTXB,Wax Roller,50,,
OSZXY5GJAADS,Golden Rose Anaesthetic,15,,
URL5JUOVR90U ,Disposable Mapping Ruler,2050,,
UTAVLHNJXTVM ,Disposable Ruler - Big,1250,,
2Z5UMFVL7TA7,Disposable Mapping Ruler,50,,
3X1ZMZBL7PXP,Tube Aftercare,50,,
5BSTOX7IVFMS,machine charger,30,,
FLOIIYUQJU1U,Black Mapping Pencil,72,,
TXLPCGXJONZI,White Mapping pen,30,,
CQTBKHWN7JQC,Lip Booster,30,,
C1QQMVTMWYBB ,Calipper,52,,
HXPGRN0V4MLQ ,Electiric Caliper,30,,
8ZOUY0HBV0MT ,nano Mist,20,,
,Nano Mist,5,,
RRQEZLMDNIEG,Lip Brush,50,,
,Spatula,,1 carton not provided,
SE9JAPH56TMY,Wax paper,5,,
,face sheet mask,,500,
TPIFAKYKRQOG,Stencil Paper,400,,
